
---- Start ----

There are 1 classes!
[Train fold] 355 samples
[Validation fold] 89 samples

--------------------------------------------
verbose: False
optimizer: adam
epochs: 120
batch_size: 32
learning_rate: 0.01
min_learning_rate: 1e-07
get_path: False
weighted_loss: False
plateau_scheduler: False
steps_best: False
steps_scheduler: True
binary_problem: False
multilabel_problem: False
damaged_problem: False
segmentation_problem: True
masks_overlays: 0
selected_class: Hueco
img_size: 512
crop_size: 512
model_name: unet_extra_small
checkpoint: 
data_mod: 
pretrained: False
fold: 0
output_dir: results/segmentation/fold0/Hueco/unet_extra_small_adam_512to512_lr0.01/
data_augmentation: True
histogram_matching: False

-------------- START TRAINING --------------
[2021-02-04 09:19:52] Epoch: 43, LR: 0.01000000, Train IOU: 0.1498, Val IOU: 0.4630, Val DICE: 0.5822
[2021-02-04 09:20:25] Epoch: 44, LR: 0.01000000, Train IOU: 0.1613, Val IOU: 0.4252, Val DICE: 0.5491
[2021-02-04 09:20:57] Epoch: 45, LR: 0.01000000, Train IOU: 0.1291, Val IOU: 0.4709, Val DICE: 0.5970
[2021-02-04 09:21:32] Epoch: 46, LR: 0.01000000, Train IOU: 0.1387, Val IOU: 0.3862, Val DICE: 0.5039
[2021-02-04 09:22:04] Epoch: 47, LR: 0.01000000, Train IOU: 0.1669, Val IOU: 0.1697, Val DICE: 0.2277
[2021-02-04 09:22:37] Epoch: 48, LR: 0.01000000, Train IOU: 0.1354, Val IOU: 0.5405, Val DICE: 0.6685
[2021-02-04 09:23:12] Epoch: 49, LR: 0.01000000, Train IOU: 0.1621, Val IOU: 0.4218, Val DICE: 0.5392
[2021-02-04 09:23:45] Epoch: 50, LR: 0.01000000, Train IOU: 0.1324, Val IOU: 0.4628, Val DICE: 0.5953
[2021-02-04 09:24:19] Epoch: 51, LR: 0.01000000, Train IOU: 0.1401, Val IOU: 0.5054, Val DICE: 0.6366
[2021-02-04 09:24:51] Epoch: 52, LR: 0.01000000, Train IOU: 0.1562, Val IOU: 0.5138, Val DICE: 0.6404
[2021-02-04 09:25:25] Epoch: 53, LR: 0.01000000, Train IOU: 0.1622, Val IOU: 0.4883, Val DICE: 0.6118
[2021-02-04 09:25:59] Epoch: 54, LR: 0.01000000, Train IOU: 0.1451, Val IOU: 0.4450, Val DICE: 0.5631
[2021-02-04 09:26:33] Epoch: 55, LR: 0.01000000, Train IOU: 0.1542, Val IOU: 0.4820, Val DICE: 0.6122
[2021-02-04 09:27:05] Epoch: 56, LR: 0.01000000, Train IOU: 0.1722, Val IOU: 0.4408, Val DICE: 0.5589
[2021-02-04 09:27:39] Epoch: 57, LR: 0.01000000, Train IOU: 0.1621, Val IOU: 0.5116, Val DICE: 0.6380
[2021-02-04 09:28:13] Epoch: 58, LR: 0.01000000, Train IOU: 0.1396, Val IOU: 0.3732, Val DICE: 0.4898
[2021-02-04 09:28:47] Epoch: 59, LR: 0.01000000, Train IOU: 0.1661, Val IOU: 0.4669, Val DICE: 0.5914
[2021-02-04 09:29:21] Epoch: 60, LR: 0.01000000, Train IOU: 0.1332, Val IOU: 0.4321, Val DICE: 0.5584
[2021-02-04 09:29:55] Epoch: 61, LR: 0.00100000, Train IOU: 0.1631, Val IOU: 0.5230, Val DICE: 0.6518
[2021-02-04 09:30:27] Epoch: 62, LR: 0.00100000, Train IOU: 0.1569, Val IOU: 0.5598, Val DICE: 0.6887
[2021-02-04 09:31:00] Epoch: 63, LR: 0.00100000, Train IOU: 0.1667, Val IOU: 0.5685, Val DICE: 0.6996
[2021-02-04 09:31:33] Epoch: 64, LR: 0.00100000, Train IOU: 0.1539, Val IOU: 0.5610, Val DICE: 0.6932
[2021-02-04 09:32:05] Epoch: 65, LR: 0.00100000, Train IOU: 0.1715, Val IOU: 0.5703, Val DICE: 0.7036
[2021-02-04 09:32:38] Epoch: 66, LR: 0.00100000, Train IOU: 0.1492, Val IOU: 0.5437, Val DICE: 0.6763
[2021-02-04 09:33:13] Epoch: 67, LR: 0.00100000, Train IOU: 0.1843, Val IOU: 0.5635, Val DICE: 0.6967
[2021-02-04 09:33:47] Epoch: 68, LR: 0.00100000, Train IOU: 0.1673, Val IOU: 0.5808, Val DICE: 0.7115
[2021-02-04 09:34:22] Epoch: 69, LR: 0.00100000, Train IOU: 0.1530, Val IOU: 0.5781, Val DICE: 0.7078
[2021-02-04 09:34:55] Epoch: 70, LR: 0.00100000, Train IOU: 0.1839, Val IOU: 0.5708, Val DICE: 0.7014
[2021-02-04 09:35:29] Epoch: 71, LR: 0.00100000, Train IOU: 0.1685, Val IOU: 0.5629, Val DICE: 0.6955
[2021-02-04 09:36:02] Epoch: 72, LR: 0.00100000, Train IOU: 0.1888, Val IOU: 0.5726, Val DICE: 0.7043
[2021-02-04 09:36:35] Epoch: 73, LR: 0.00100000, Train IOU: 0.1770, Val IOU: 0.5641, Val DICE: 0.6968
[2021-02-04 09:37:10] Epoch: 74, LR: 0.00100000, Train IOU: 0.1781, Val IOU: 0.5736, Val DICE: 0.7045
[2021-02-04 09:37:44] Epoch: 75, LR: 0.00100000, Train IOU: 0.1637, Val IOU: 0.5367, Val DICE: 0.6666
[2021-02-04 09:38:17] Epoch: 76, LR: 0.00100000, Train IOU: 0.1551, Val IOU: 0.5621, Val DICE: 0.6934
[2021-02-04 09:38:51] Epoch: 77, LR: 0.00100000, Train IOU: 0.1859, Val IOU: 0.5691, Val DICE: 0.7005
[2021-02-04 09:39:25] Epoch: 78, LR: 0.00100000, Train IOU: 0.1841, Val IOU: 0.5565, Val DICE: 0.6891
[2021-02-04 09:39:59] Epoch: 79, LR: 0.00100000, Train IOU: 0.1694, Val IOU: 0.5775, Val DICE: 0.7095
[2021-02-04 09:40:33] Epoch: 80, LR: 0.00100000, Train IOU: 0.1709, Val IOU: 0.5714, Val DICE: 0.7027
[2021-02-04 09:41:07] Epoch: 81, LR: 0.00010000, Train IOU: 0.1800, Val IOU: 0.5783, Val DICE: 0.7085
[2021-02-04 09:41:40] Epoch: 82, LR: 0.00010000, Train IOU: 0.1735, Val IOU: 0.5716, Val DICE: 0.7021
[2021-02-04 09:42:12] Epoch: 83, LR: 0.00010000, Train IOU: 0.1796, Val IOU: 0.5691, Val DICE: 0.6992
[2021-02-04 09:42:46] Epoch: 84, LR: 0.00010000, Train IOU: 0.1863, Val IOU: 0.5818, Val DICE: 0.7117
[2021-02-04 09:43:20] Epoch: 85, LR: 0.00010000, Train IOU: 0.1703, Val IOU: 0.5769, Val DICE: 0.7076
[2021-02-04 09:43:53] Epoch: 86, LR: 0.00010000, Train IOU: 0.1974, Val IOU: 0.5782, Val DICE: 0.7077
[2021-02-04 09:44:28] Epoch: 87, LR: 0.00010000, Train IOU: 0.1635, Val IOU: 0.5690, Val DICE: 0.7012
[2021-02-04 09:45:01] Epoch: 88, LR: 0.00010000, Train IOU: 0.1713, Val IOU: 0.5799, Val DICE: 0.7113
[2021-02-04 09:45:34] Epoch: 89, LR: 0.00010000, Train IOU: 0.1749, Val IOU: 0.5815, Val DICE: 0.7127
[2021-02-04 09:46:06] Epoch: 90, LR: 0.00010000, Train IOU: 0.1565, Val IOU: 0.5921, Val DICE: 0.7218
[2021-02-04 09:46:41] Epoch: 91, LR: 0.00010000, Train IOU: 0.1744, Val IOU: 0.5811, Val DICE: 0.7111
[2021-02-04 09:47:14] Epoch: 92, LR: 0.00010000, Train IOU: 0.1948, Val IOU: 0.5795, Val DICE: 0.7119
[2021-02-04 09:47:46] Epoch: 93, LR: 0.00010000, Train IOU: 0.1816, Val IOU: 0.5827, Val DICE: 0.7144
[2021-02-04 09:48:18] Epoch: 94, LR: 0.00010000, Train IOU: 0.1817, Val IOU: 0.5761, Val DICE: 0.7065
[2021-02-04 09:48:50] Epoch: 95, LR: 0.00010000, Train IOU: 0.1844, Val IOU: 0.5871, Val DICE: 0.7190
[2021-02-04 09:49:24] Epoch: 96, LR: 0.00010000, Train IOU: 0.1801, Val IOU: 0.5771, Val DICE: 0.7093
[2021-02-04 09:49:58] Epoch: 97, LR: 0.00010000, Train IOU: 0.1772, Val IOU: 0.5870, Val DICE: 0.7178
[2021-02-04 09:50:31] Epoch: 98, LR: 0.00010000, Train IOU: 0.1869, Val IOU: 0.5742, Val DICE: 0.7059
[2021-02-04 09:51:05] Epoch: 99, LR: 0.00010000, Train IOU: 0.1783, Val IOU: 0.5666, Val DICE: 0.6984
[2021-02-04 09:51:38] Epoch: 100, LR: 0.00010000, Train IOU: 0.1659, Val IOU: 0.5593, Val DICE: 0.6924
[2021-02-04 09:52:11] Epoch: 101, LR: 0.00010000, Train IOU: 0.1787, Val IOU: 0.5728, Val DICE: 0.7038
[2021-02-04 09:52:45] Epoch: 102, LR: 0.00010000, Train IOU: 0.1726, Val IOU: 0.5785, Val DICE: 0.7105
[2021-02-04 09:53:18] Epoch: 103, LR: 0.00010000, Train IOU: 0.1824, Val IOU: 0.5785, Val DICE: 0.7108
[2021-02-04 09:53:52] Epoch: 104, LR: 0.00010000, Train IOU: 0.1707, Val IOU: 0.5861, Val DICE: 0.7180
[2021-02-04 09:54:25] Epoch: 105, LR: 0.00010000, Train IOU: 0.1632, Val IOU: 0.5813, Val DICE: 0.7123
[2021-02-04 09:54:58] Epoch: 106, LR: 0.00010000, Train IOU: 0.1841, Val IOU: 0.5820, Val DICE: 0.7122
[2021-02-04 09:55:31] Epoch: 107, LR: 0.00010000, Train IOU: 0.1842, Val IOU: 0.5772, Val DICE: 0.7085
[2021-02-04 09:56:04] Epoch: 108, LR: 0.00010000, Train IOU: 0.1997, Val IOU: 0.5757, Val DICE: 0.7066
[2021-02-04 09:56:36] Epoch: 109, LR: 0.00010000, Train IOU: 0.1594, Val IOU: 0.5704, Val DICE: 0.7017
[2021-02-04 09:57:08] Epoch: 110, LR: 0.00010000, Train IOU: 0.1674, Val IOU: 0.5641, Val DICE: 0.6953
[2021-02-04 09:57:41] Epoch: 111, LR: 0.00010000, Train IOU: 0.1817, Val IOU: 0.5802, Val DICE: 0.7109
[2021-02-04 09:58:16] Epoch: 112, LR: 0.00010000, Train IOU: 0.1860, Val IOU: 0.5802, Val DICE: 0.7110
[2021-02-04 09:58:48] Epoch: 113, LR: 0.00010000, Train IOU: 0.1734, Val IOU: 0.5769, Val DICE: 0.7090
[2021-02-04 09:59:21] Epoch: 114, LR: 0.00010000, Train IOU: 0.1849, Val IOU: 0.5783, Val DICE: 0.7096
[2021-02-04 09:59:54] Epoch: 115, LR: 0.00010000, Train IOU: 0.1681, Val IOU: 0.5842, Val DICE: 0.7150
[2021-02-04 10:00:29] Epoch: 116, LR: 0.00010000, Train IOU: 0.1930, Val IOU: 0.5779, Val DICE: 0.7078
[2021-02-04 10:01:03] Epoch: 117, LR: 0.00010000, Train IOU: 0.1739, Val IOU: 0.5856, Val DICE: 0.7167
[2021-02-04 10:01:35] Epoch: 118, LR: 0.00010000, Train IOU: 0.1654, Val IOU: 0.5967, Val DICE: 0.7257
[2021-02-04 10:02:08] Epoch: 119, LR: 0.00010000, Train IOU: 0.1773, Val IOU: 0.5783, Val DICE: 0.7094
[2021-02-04 10:02:42] Epoch: 120, LR: 0.00010000, Train IOU: 0.1685, Val IOU: 0.5769, Val DICE: 0.7080

------------------------------------------------
Best Validation:
