
---- Start ----

[Train] 3189 muestras
[Validacion] 586 muestras
Hay 6 clases!
Pretrained-> Remember at end: transforms.Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])

--------------------------------------------
verbose: False
optimizer: adam
epochs: 200
batch_size: 128
learning_rate: 0.0001
min_learning_rate: 1e-07
get_path: False
weighted_loss: False
plateau_scheduler: False
steps_best: False
steps_scheduler: True
binary_problem: False
damaged_problem: True
img_size: 256
crop_size: 224
model_name: resnet34
pretrained: True
validation_size: 0.15
output_dir: results/resnet34_adam_256to224_lr0.0001_DA_pretrained_OnlyDamaged/
data_augmentation: True

-------------- START TRAINING --------------
[2020-01-14 11:47:20] Epoch: 47, LR: 0.00010000, Train Accuracy: 99.1533%, Val Accuracy: 97.4403%
[2020-01-14 11:48:01] Epoch: 48, LR: 0.00010000, Train Accuracy: 99.0279%, Val Accuracy: 94.3686%
[2020-01-14 11:48:42] Epoch: 49, LR: 0.00010000, Train Accuracy: 99.2161%, Val Accuracy: 98.2935%
[2020-01-14 11:49:23] Epoch: 50, LR: 0.00010000, Train Accuracy: 99.2161%, Val Accuracy: 97.9522%
[2020-01-14 11:50:04] Epoch: 51, LR: 0.00010000, Train Accuracy: 98.8711%, Val Accuracy: 97.0990%
[2020-01-14 11:50:45] Epoch: 52, LR: 0.00010000, Train Accuracy: 99.3415%, Val Accuracy: 97.6109%
[2020-01-14 11:51:26] Epoch: 53, LR: 0.00010000, Train Accuracy: 99.2788%, Val Accuracy: 97.4403%
[2020-01-14 11:52:07] Epoch: 54, LR: 0.00010000, Train Accuracy: 99.3728%, Val Accuracy: 97.9522%
[2020-01-14 11:52:48] Epoch: 55, LR: 0.00010000, Train Accuracy: 99.6237%, Val Accuracy: 98.4642%
[2020-01-14 11:53:29] Epoch: 56, LR: 0.00010000, Train Accuracy: 99.5610%, Val Accuracy: 96.7577%
[2020-01-14 11:54:10] Epoch: 57, LR: 0.00010000, Train Accuracy: 99.4983%, Val Accuracy: 98.1229%
[2020-01-14 11:54:51] Epoch: 58, LR: 0.00010000, Train Accuracy: 99.5296%, Val Accuracy: 98.2935%
[2020-01-14 11:55:31] Epoch: 59, LR: 0.00010000, Train Accuracy: 99.4669%, Val Accuracy: 97.0990%
[2020-01-14 11:56:12] Epoch: 60, LR: 0.00010000, Train Accuracy: 99.4669%, Val Accuracy: 97.9522%
[2020-01-14 11:56:53] Epoch: 61, LR: 0.00010000, Train Accuracy: 99.2474%, Val Accuracy: 96.4164%
[2020-01-14 11:57:34] Epoch: 62, LR: 0.00010000, Train Accuracy: 99.2474%, Val Accuracy: 97.2696%
[2020-01-14 11:58:15] Epoch: 63, LR: 0.00010000, Train Accuracy: 98.9338%, Val Accuracy: 96.4164%
[2020-01-14 11:58:56] Epoch: 64, LR: 0.00010000, Train Accuracy: 99.1533%, Val Accuracy: 95.2218%
[2020-01-14 11:59:37] Epoch: 65, LR: 0.00010000, Train Accuracy: 99.0906%, Val Accuracy: 95.3925%
[2020-01-14 12:00:18] Epoch: 66, LR: 0.00010000, Train Accuracy: 99.4042%, Val Accuracy: 97.9522%
[2020-01-14 12:00:59] Epoch: 67, LR: 0.00010000, Train Accuracy: 99.4356%, Val Accuracy: 96.9283%
[2020-01-14 12:01:40] Epoch: 68, LR: 0.00010000, Train Accuracy: 99.3728%, Val Accuracy: 97.7816%
[2020-01-14 12:02:21] Epoch: 69, LR: 0.00010000, Train Accuracy: 99.4669%, Val Accuracy: 96.5870%
[2020-01-14 12:03:02] Epoch: 70, LR: 0.00010000, Train Accuracy: 99.5610%, Val Accuracy: 97.9522%
[2020-01-14 12:03:43] Epoch: 71, LR: 0.00010000, Train Accuracy: 99.7805%, Val Accuracy: 97.9522%
